
CommandType     Name                                               Version    Source
Alias           List-AzApplicationGatewayAvailableServerVariableA… 7.4.0      Az.Network
Alias           List-AzApplicationGatewayAvailableSslOptions       7.4.0      Az.Network
Alias           List-AzApplicationGatewayAvailableWafRuleSets      7.4.0      Az.Network
Alias           List-AzApplicationGatewaySslPredefinedPolicy       7.4.0      Az.Network
Alias           Login-AzAccount                                    2.16.0     Az.Accounts
Alias           Login-AzAsAccount                                  1.1.4      Az.AnalysisServices
Alias           Login-AzureAsAccount                               1.1.4      Az.AnalysisServices
Alias           Logout-AzAccount                                   2.16.0     Az.Accounts
Alias           Move-AdlStoreItem                                  1.3.0      Az.DataLakeStore
Alias           New-AdlAnalyticsAccount                            1.0.3      Az.DataLakeAnalytics
Alias           New-AdlAnalyticsComputePolicy                      1.0.3      Az.DataLakeAnalytics
Alias           New-AdlCatalogCredential                           1.0.3      Az.DataLakeAnalytics
Alias           New-AdlCatalogSecret                               1.0.3      Az.DataLakeAnalytics
Alias           New-AdlStore                                       1.3.0      Az.DataLakeStore
Alias           New-AdlStoreItem                                   1.3.0      Az.DataLakeStore
Alias           New-ASRFabric                                      6.7.1      Az.RecoveryServices
Alias           New-AsrInMageAzureV2DiskInput                      6.7.1      Az.RecoveryServices
Alias           New-ASRInMageRcmDiskInput                          6.7.1      Az.RecoveryServices
Alias           New-ASRNetworkMapping                              6.7.1      Az.RecoveryServices
Alias           New-ASRPolicy                                      6.7.1      Az.RecoveryServices
Alias           New-ASRProtectableItem                             6.7.1      Az.RecoveryServices
Alias           New-ASRProtectionContainerMapping                  6.7.1      Az.RecoveryServices
Alias           New-ASRRecoveryPlan                                6.7.1      Az.RecoveryServices
Alias           New-ASRReplicationProtectedItem                    6.7.1      Az.RecoveryServices
Alias           New-ASRRP                                          6.7.1      Az.RecoveryServices
Alias           New-ASRStorageClassificationMapping                6.7.1      Az.RecoveryServices
Alias           New-ASRvCenter                                     6.7.1      Az.RecoveryServices
Alias           New-ASRVMNicConfig                                 6.7.1      Az.RecoveryServices
Alias           New-AzADServicePrincipalCredential                 6.16.0     Az.Resources
Alias           New-AzApplicationGatewayBackendHttpSettings        7.4.0      Az.Network
Alias           New-AzAs                                           1.1.4      Az.AnalysisServices
Alias           New-AzDataFactoryV2                                1.18.2     Az.DataFactory
Alias           New-AzDataFactoryV2Dataset                         1.18.2     Az.DataFactory
Alias           New-AzDataFactoryV2LinkedService                   1.18.2     Az.DataFactory
Alias           New-AzDataFactoryV2Pipeline                        1.18.2     Az.DataFactory
Alias           New-AzDataFactoryV2Trigger                         1.18.2     Az.DataFactory
Alias           New-AzDatalakeGen2FileSystem                       6.1.2      Az.Storage
Alias           New-AzDataLakeGen2ItemAclObject                    6.1.2      Az.Storage
Alias           New-AzEventHubNamespaceV2                          4.2.0      Az.EventHub
Alias           New-AzFederatedIdentityCredentials                 1.2.0      Az.ManagedServiceIdentity
Alias           New-AzFirewallThreatIntelWhitelistObject           7.4.0      Az.Network
Alias           New-AzNotificationHubAuthorizationRules            1.1.2      Az.NotificationHubs
Alias           New-AzNotificationHubsNamespaceAuthorizationRules  1.1.2      Az.NotificationHubs
Alias           New-AzOperationalInsightsAzureAuditDataSource      3.2.0      Az.OperationalInsights
Alias           New-AzRedisEnterpriseCacheAccessKey                1.2.0      Az.RedisEnterpriseCache
Alias           New-AzRedisEnterpriseCacheDatabaseKey              1.2.0      Az.RedisEnterpriseCache
